id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534153,25356b28-4751-49f2-a4e6-44dff34291f7,13497,-2590,830,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,331,14146,BL02,THK7
534164,88e34ad5-4d35-473e-b2d2-719124b75086,5997,-3799,4362,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,326,14146,BL02,THK7
534175,9e8eac34-b83d-4dd5-868e-415ba6571816,5997,-1144,1690,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,125,14146,BL02,THK7
534186,4c31d40a-2bef-4b8a-8fb1-6ae1d756c9d5,12003,-3385,1814,56.8,AH36,B44,-,-,false,part,G01,FR_12,FLAT,0,-,0,0,222,14146,BL02,THK7
534197,a01a48c9-3022-42db-b516-361214f7b6c2,11996,-4177,2224,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,318,14146,BL02,THK7
534207,faef7acf-3fc0-437a-a0fd-68436791d997,11533,355,857,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,313,14146,BL02,THK10
534220,0a96802f-1ec5-41ca-ad67-7d81c894a128,6754,-4218,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,578,14146,BL02,FB60x5
534231,eb44e05b-ee82-44d4-9a40-e83c70f3d003,12754,-4261,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,872,14146,BL02,FB60x5
534242,a440b519-4717-46f2-beb3-80941ff14d37,7254,4223,3718,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,579,14146,BL02,FB60x5
534253,5a1ae883-2b21-4456-8c09-e318cb52e147,9754,4232,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,876,14146,BL02,FB60x5
534265,0a25af63-52e4-4f80-98dc-d8bbd7307dd6,6047,-3096,2244,2.3,AH36,B17,BI02,BI02,false,stiffner,G01,FR_6,FLAT,461,-,0,0,860,14146,BL02,FB80x8
534274,5917665b-34ab-46ad-b0d1-d0cf5faced81,6047,3096,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,589,14146,BL02,FB80x8
534284,c0f7df05-817d-4d0d-acb6-c97dd6634a1a,6047,-3346,3716,7.5,AH36,B16,BF30+30,BI02,false,stiffner,A01,FR_6,FLAT,1491,-,0,0,577,14146,BL02,FB80x8
